position,prog_x,prog_y,prog_z,mean_x,mean_y,mean_z,dX,dY,dZ,AP,L_bar,sigma,RP,n
P1,10.0,10.0,10.0,14.918879239002598,7.169202267628347,11.91162310870289,4.918879239002598,-2.8307977323716527,1.9116231087028908,5.988580105435525,0.13545060910293122,0.06554252146402793,0.332078173495015,30
P2,50.0,10.0,10.0,54.895660849233074,8.583253671060277,10.898167709940887,4.895660849233074,-1.4167463289397233,0.8981677099408873,5.1750720329728885,0.15620355248547765,0.050229807194863765,0.306892974070069,30
P3,10.0,50.0,10.0,13.531149372407016,47.15646212190916,12.625703541631474,3.5311493724070164,-2.8435378780908422,2.6257035416314736,5.239183394664086,0.18211471334806556,0.0839178379235679,0.43386822711876927,30
P4,10.0,10.0,50.0,15.983456855569361,6.54597765569609,51.8737060284636,5.9834568555693615,-3.45402234430391,1.8737060284636016,7.158407684570048,0.15886814748096473,0.07021368488587004,0.36950920213857485,30
P5,50.0,50.0,50.0,54.53398337716791,47.88437080802801,51.54057238713441,4.533983377167907,-2.1156291919719905,1.5405723871344108,5.2350984157282054,0.15645292538151542,0.0629579217771207,0.3453266907128775,30
